,Make,Colour,Odometer (KM),Doors,Price
805,Nissan,White,206184,4,0
806,Honda,White,43738,4,5903
807,Nissan,Blue,117564,4,7525
808,Toyota,White,145253,4,6494
809,Nissan,White,155054,4,2306
810,BMW,Blue,227568,5,9497
811,Honda,White,225435,3,0
812,Honda,White,210123,3,0
813,Nissan,Red,212435,4,0
814,BMW,White,38210,5,15136
815,BMW,Blue,132913,5,20231
816,BMW,Blue,222885,5,5244
817,Toyota,Green,84033,4,19781
818,Toyota,White,148625,4,12353
819,Toyota,White,149718,4,4436
820,Toyota,Blue,166467,4,12462
821,Honda,Red,18735,4,13143
822,Nissan,Black,52430,4,11749
823,Nissan,Blue,183509,4,5274
824,Honda,Black,15350,4,21015
825,Nissan,Blue,240465,4,0
826,BMW,Blue,63154,5,35592
827,Nissan,White,217547,4,0
828,Toyota,Blue,154610,4,10831
829,Toyota,White,22128,4,22084
830,Honda,White,135383,4,8018
831,Toyota,White,45794,4,9529
832,Toyota,Black,91973,4,30415
833,Nissan,Green,122385,4,9788
834,BMW,Black,223504,5,4180
835,Toyota,Blue,115273,4,7344
836,Toyota,Green,66542,4,34908
837,Honda,Black,143492,4,2816
838,Toyota,Blue,134996,4,5311
839,Toyota,Blue,139425,4,14628
840,Nissan,White,55362,4,31702
841,Toyota,White,241797,4,0
842,Toyota,White,189452,4,5982
843,Honda,Black,168941,3,7822
844,Nissan,Blue,205819,4,0
845,Honda,Black,142614,4,15312
846,Nissan,White,164420,4,11118
847,Toyota,White,120329,4,16493
848,Honda,Green,31560,3,23177
849,Honda,White,112019,4,7063
850,Honda,Red,33129,4,13533
851,BMW,White,155328,5,13058
852,Toyota,White,139485,4,16930
853,BMW,Black,142433,5,18538
854,Honda,White,99884,4,17369
855,Toyota,White,134622,4,13247
856,Honda,White,93846,4,26317
857,Nissan,Blue,137052,4,6596
858,Toyota,White,132144,4,4865
859,Toyota,Blue,82149,4,21655
860,BMW,White,109902,5,27734
861,Toyota,Red,65628,4,7042
862,Toyota,Blue,72682,4,18439
863,Toyota,Red,93615,4,35134
864,Nissan,White,43311,4,14658
865,Toyota,White,39533,4,23986
866,Honda,Blue,196703,4,4249
867,Honda,Blue,115844,3,16406
868,Toyota,White,28521,4,23545
869,Toyota,Blue,27183,4,26735
870,Honda,Black,33053,4,12650
871,Nissan,Blue,99179,4,23298
872,Honda,Black,142829,3,8434
873,Toyota,White,148657,4,16276
874,Toyota,White,63330,4,33778
875,Toyota,White,21564,4,11291
876,Honda,Blue,35362,4,26908
877,Toyota,Red,33774,4,7093
878,Toyota,Blue,240913,4,0
879,Toyota,Blue,151975,4,7366
880,BMW,White,140562,5,9408
881,BMW,Red,139525,5,26622
882,BMW,Blue,31725,5,23666
883,BMW,White,34863,5,25782
884,Honda,Red,52689,3,26075
885,Honda,Black,71612,3,10025
886,Nissan,Green,147737,4,18081
887,Honda,Red,221685,3,0
888,Toyota,White,215845,4,0
889,BMW,White,165113,4,10706
890,Toyota,Green,49857,4,22441
891,Toyota,Red,205131,4,0
892,Honda,Red,127076,4,15188
893,BMW,Blue,208764,4,8553
894,Honda,White,145231,4,5740
895,Honda,Green,147586,4,9259
896,Nissan,White,21081,4,13915
897,BMW,Blue,144227,4,31044
898,Toyota,Blue,243633,4,0
899,BMW,Green,109633,5,32704
900,Honda,Red,200676,4,0
901,Nissan,Green,15194,4,11248
902,Nissan,White,95718,4,27815
903,Toyota,Green,177659,4,7172
904,Toyota,White,151979,4,6182
905,Toyota,White,22300,4,27230
906,Honda,Blue,217642,4,0
907,Toyota,White,119909,4,6980
908,Honda,Blue,28174,4,10610
909,Honda,Red,156787,4,7802
910,Nissan,Blue,63695,4,9885
911,Toyota,Red,12161,4,19379
912,Honda,White,248817,4,0
913,Nissan,White,133868,4,8700
914,Toyota,White,188933,4,6293
915,Honda,White,149347,4,14478
916,Nissan,White,236294,4,0
917,Toyota,Blue,165561,4,4093
918,Toyota,White,118145,4,19348
919,Toyota,Green,9990,4,29782
920,Toyota,White,177762,4,9488
921,Nissan,Blue,104344,4,8127
922,BMW,Blue,69150,5,21354
923,Toyota,White,91896,4,26531
924,Toyota,White,80601,4,8926
925,Nissan,White,104528,4,12133
926,Honda,White,240318,4,0
927,Toyota,White,126458,4,10375
928,Toyota,Blue,63120,4,10583
929,Honda,Blue,231396,4,0
930,Toyota,Blue,153216,4,12749
931,Honda,Blue,242489,4,0
932,Toyota,Blue,169748,4,9481
933,Toyota,Blue,65457,4,19184
934,Honda,White,166051,4,4008
935,Nissan,Blue,235659,4,0
936,Nissan,Green,78853,4,18992
937,Nissan,White,195153,4,10368
938,Honda,Blue,124127,4,13478
939,Honda,Blue,174533,4,6875
940,Toyota,Black,14208,4,31618
941,Toyota,White,44938,4,33181
942,Honda,White,245584,3,0
943,Honda,Black,239458,3,0
944,Toyota,Blue,246302,4,0
945,Honda,White,17233,4,19226
946,Toyota,Black,41291,4,12082
947,Honda,Black,178646,4,6938
948,Toyota,Black,66243,4,22116
949,Honda,White,245015,4,0
950,Nissan,Red,151821,4,5225
951,Toyota,Red,128749,4,13367
952,Nissan,White,112737,4,18064
953,Toyota,White,229657,4,0
954,Toyota,Green,28287,4,15648
955,BMW,Blue,83094,5,26638
956,Toyota,Blue,25563,4,17261
957,Toyota,Blue,127076,4,3857
958,Honda,Blue,20558,4,5411
959,Nissan,White,217187,4,0
960,Toyota,White,145962,4,14923
961,Nissan,White,98043,4,24004
962,Toyota,Blue,228465,4,0
963,Nissan,Green,176555,4,6361
964,Toyota,White,191883,4,6647
965,Honda,White,66704,4,17395
966,Nissan,White,177848,4,3128
967,Toyota,Green,207191,4,0
968,Toyota,White,235080,4,0
969,BMW,White,15549,5,41115
970,Nissan,Red,76041,4,5609
971,Toyota,White,170739,4,4418
972,Toyota,Red,167067,4,7081
973,Nissan,White,169719,4,10483
974,Nissan,Red,221178,4,0
975,Honda,White,221177,4,0
976,Honda,White,121541,3,8643
977,BMW,White,157904,5,7256
978,Nissan,White,95407,4,9082
979,Honda,Red,248452,4,0
980,Toyota,White,60651,4,15496
981,Toyota,White,88606,4,29144
982,Nissan,White,99551,4,28491
983,BMW,Blue,149982,5,9476
984,Toyota,White,21446,4,13150
985,Toyota,Black,189433,4,3952
986,Toyota,Blue,132334,4,6055
987,Honda,White,226115,4,0
988,Nissan,White,64521,4,30687
989,Honda,Black,187146,3,3432
990,Honda,Black,128936,4,14457
991,BMW,White,237781,5,7809
992,Honda,White,57900,4,20966
993,Toyota,Blue,42766,4,10321
994,Nissan,White,248529,4,0
995,Toyota,Blue,122689,4,17305
996,Toyota,Blue,30819,4,24655
997,Toyota,White,171308,4,9385
998,Honda,Blue,146636,4,13322
999,Nissan,White,37774,4,10990
